text,emotion
This is so exciting!,excited
I'm buzzing with anticipation!,excited
Today was just like any other.,neutral
This fills me with pure happiness.,happy
This is making my heart race with anxiety.,fear
I’m so bored of this.,bored
This fills me with pure happiness.,happy
Nothing here piques my interest.,bored
It's hard to find positivity today.,sad
Nothing much to report here.,neutral
I’m finding it hard to stay engaged.,bored
I’m finding it hard to stay engaged.,bored
Today was just like any other.,neutral
This is utterly dull.,bored
Nothing much to report here.,neutral
Tears just won't stop today.,sad
I can't contain my frustration!,angry
I'm buzzing with anticipation!,excited
I am so puzzled by this.,confused
I feel lost and empty.,sad
This is absolutely unbelievable!,surprised
What a shocking twist!,surprised
Today was just like any other.,neutral
This fills me with hope.,hopeful
What a shocking twist!,surprised
I'm livid about the situation!,angry
It's hard to find positivity today.,sad
I feel lost and empty.,sad
I feel utterly heartbroken.,sad
This leaves me speechless.,surprised
I'm overjoyed with this achievement!,happy
This is so exciting!,excited
It's hard to find positivity today.,sad
It's all pretty uneventful.,neutral
I'm neither here nor there about it.,neutral
I’m feeling very melancholic.,sad
This is absolutely unbelievable!,surprised
I’m so bored of this.,bored
I feel paralyzed with fear.,fear
I’m finding it hard to stay engaged.,bored
Tears just won't stop today.,sad
Tears just won't stop today.,sad
This is absolutely unbelievable!,surprised
This makes me seethe with rage.,angry
This makes me seethe with rage.,angry
I’m thrilled beyond words!,excited
I'm buzzing with anticipation!,excited
This infuriates me to no end!,angry
This makes me seethe with rage.,angry
I'm neither here nor there about it.,neutral
I can't contain my frustration!,angry
There’s light at the end of the tunnel.,hopeful
I’m thrilled beyond words!,excited
I am inspired to keep going.,hopeful
The situation is terrifying.,fear
The thought of it scares me.,fear
The situation is terrifying.,fear
I did not anticipate this at all.,surprised
I feel like things are going to get better.,hopeful
Such a delightful moment!,happy
I am so puzzled by this.,confused
I am inspired to keep going.,hopeful
I'm overjoyed with this achievement!,happy
This makes me seethe with rage.,angry
I can't contain my frustration!,angry
I’m thrilled beyond words!,excited
I did not anticipate this at all.,surprised
It's hard to find positivity today.,sad
Such a delightful moment!,happy
It's all pretty uneventful.,neutral
I can't contain my frustration!,angry
I am optimistic about the future.,hopeful
I did not anticipate this at all.,surprised
This fills me with hope.,hopeful
Today was just like any other.,neutral
What a shocking twist!,surprised
I am boiling with anger.,angry
This is just monotonous.,bored
Nothing much to report here.,neutral
I am boiling with anger.,angry
I feel utterly heartbroken.,sad
I did not anticipate this at all.,surprised
I feel lost and empty.,sad
I am boiling with anger.,angry
This doesn’t make any sense to me.,confused
I'm overjoyed with this achievement!,happy
It's hard to find positivity today.,sad
This is bewildering.,confused
I'm buzzing with anticipation!,excited
Such a delightful moment!,happy
This doesn’t make any sense to me.,confused
This makes me seethe with rage.,angry
Happiness is all I feel.,happy
This doesn’t make any sense to me.,confused
I feel like things are going to get better.,hopeful
This infuriates me to no end!,angry
I’m finding it hard to stay engaged.,bored
Nothing much to report here.,neutral
I feel completely lost right now.,confused
This is making my heart race with anxiety.,fear
This fills me with pure happiness.,happy
This infuriates me to no end!,angry
It's all pretty uneventful.,neutral
I am optimistic about the future.,hopeful
This is so exciting!,excited
I’m feeling very melancholic.,sad
There’s light at the end of the tunnel.,hopeful
I'm neither here nor there about it.,neutral
Nothing here piques my interest.,bored
This fills me with pure happiness.,happy
I’m finding it hard to stay engaged.,bored
It's hard to find positivity today.,sad
I feel paralyzed with fear.,fear
I'm livid about the situation!,angry
I can't contain my frustration!,angry
Such a delightful moment!,happy
I am inspired to keep going.,hopeful
This is absolutely unbelievable!,surprised
I'm livid about the situation!,angry
I can’t wait to see what happens next!,excited
I'm buzzing with anticipation!,excited
I’m feeling very melancholic.,sad
I feel lost and empty.,sad
I'm ecstatic about the results!,happy
This is just monotonous.,bored
I am optimistic about the future.,hopeful
This is bewildering.,confused
This leaves me speechless.,surprised
I am boiling with anger.,angry
This makes me seethe with rage.,angry
I’m dreading what’s to come.,fear
This doesn’t make any sense to me.,confused
This leaves me speechless.,surprised
This is utterly dull.,bored
Today was just like any other.,neutral
I am so puzzled by this.,confused
I can't contain my frustration!,angry
The situation is terrifying.,fear
I can't contain my frustration!,angry
This is utterly dull.,bored
I’m so bored of this.,bored
It's all pretty uneventful.,neutral
This is making my heart race with anxiety.,fear
I feel completely lost right now.,confused
I’m dreading what’s to come.,fear
This is absolutely unbelievable!,surprised
I’m so bored of this.,bored
I’m finding it hard to stay engaged.,bored
It's all pretty uneventful.,neutral
This is making my heart race with anxiety.,fear
I did not anticipate this at all.,surprised
Today was just like any other.,neutral
I’m thrilled beyond words!,excited
I don't feel strongly either way.,neutral
I’m feeling very melancholic.,sad
I'm neither here nor there about it.,neutral
Nothing here piques my interest.,bored
I feel completely lost right now.,confused
I am so puzzled by this.,confused
I’m trying to wrap my head around it.,confused
This is just monotonous.,bored
This fills me with hope.,hopeful
I am boiling with anger.,angry
I feel like things are going to get better.,hopeful
I’m so bored of this.,bored
I am so puzzled by this.,confused
The thought of it scares me.,fear
I can't contain my frustration!,angry
I’m so bored of this.,bored
I am inspired to keep going.,hopeful
I am optimistic about the future.,hopeful
This is absolutely unbelievable!,surprised
I can't contain my frustration!,angry
What a shocking twist!,surprised
Such a delightful moment!,happy
I’m dreading what’s to come.,fear
Nothing here piques my interest.,bored
